Servant,Rarity,Class,S2,S3,S4,S5,S6,S7,S8,S9,S10,A2,A3,A4,A5,A6,A7,A8,A9,A10
卫宫,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '无间齿轮': 4, 'QP': 800000}","{'弓之秘石': 4, '无间齿轮': 8, 'QP': 2000000}","{'弓之秘石': 10, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 24, '凤凰羽毛': 4, 'QP': 5000000}","{'凤凰羽毛': 12, '虚影之尘': 40, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '八连双晶': 4, 'QP': 800000}","{'弓之秘石': 4, '八连双晶': 8, 'QP': 2000000}","{'弓之秘石': 10, '愚者之锁': 12, 'QP': 2500000}","{'愚者之锁': 24, '神脉灵子': 5, 'QP': 5000000}","{'神脉灵子': 15, '鬼炎鬼灯': 8, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
吉尔伽美什,5,Archer,"{'弓之辉石': 5, 'QP': 200000}","{'弓之辉石': 12, 'QP': 400000}","{'弓之魔石': 5, 'QP': 1200000}","{'弓之魔石': 12, '英雄之证': 15, 'QP': 1600000}","{'弓之秘石': 5, '英雄之证': 29, 'QP': 4000000}","{'弓之秘石': 12, '蛇之宝玉': 4, 'QP': 5000000}","{'蛇之宝玉': 8, '虚影之尘': 12, 'QP': 10000000}","{'虚影之尘': 36, '蛮神心脏': 10, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}","{'弓之辉石': 5, 'QP': 200000}","{'弓之辉石': 12, 'QP': 400000}","{'弓之魔石': 5, 'QP': 1200000}","{'弓之魔石': 12, '八连双晶': 5, 'QP': 1600000}","{'弓之秘石': 5, '八连双晶': 10, 'QP': 4000000}","{'弓之秘石': 12, '智慧之圣甲虫像': 2, 'QP': 5000000}","{'智慧之圣甲虫像': 4, '真理之卵': 3, 'QP': 10000000}","{'真理之卵': 8, '悠久果实': 15, 'QP': 12000000}","{'传承结晶': 1, 'QP': 20000000}"
罗宾汉,3,Archer,"{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '蛇之宝玉': 3, 'QP': 400000}","{'弓之秘石': 4, '蛇之宝玉': 6, 'QP': 1000000}","{'弓之秘石': 8, '世界树之种': 4, 'QP': 1250000}","{'世界树之种': 8, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 10, '虚影之尘': 32, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '起源的胎毛': 2, 'QP': 400000}","{'弓之秘石': 4, '起源的胎毛': 4, 'QP': 1000000}","{'弓之秘石': 8, '精灵根': 2, 'QP': 1250000}","{'精灵根': 3, '闲古铃': 4, 'QP': 2500000}","{'闲古铃': 12, '祸罪之箭头': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
阿塔兰忒,4,Archer,"{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '龙之牙': 10, 'QP': 800000}","{'弓之秘石': 4, '龙之牙': 20, 'QP': 2000000}","{'弓之秘石': 10, '凤凰羽毛': 4, 'QP': 2500000}","{'凤凰羽毛': 7, '虚影之尘': 10, 'QP': 5000000}","{'虚影之尘': 30, '世界树之种': 24, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'弓之辉石': 4, 'QP': 100000}","{'弓之辉石': 10, 'QP': 200000}","{'弓之魔石': 4, 'QP': 600000}","{'弓之魔石': 10, '起源的胎毛': 3, 'QP': 800000}","{'弓之秘石': 4, '起源的胎毛': 5, 'QP': 2000000}","{'弓之秘石': 10, '咒兽胆石': 2, 'QP': 2500000}","{'咒兽胆石': 4, '祸罪之箭头': 5, 'QP': 5000000}","{'祸罪之箭头': 15, '悠久果实': 12, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
尤瑞艾莉,3,Archer,"{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '龙之逆鳞': 2, 'QP': 400000}","{'弓之秘石': 4, '龙之逆鳞': 3, 'QP': 1000000}","{'弓之秘石': 8, '蛇之宝玉': 3, 'QP': 1250000}","{'蛇之宝玉': 6, '混沌之爪': 3, 'QP': 2500000}","{'混沌之爪': 8, '蛮神心脏': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'弓之辉石': 4, 'QP': 50000}","{'弓之辉石': 8, 'QP': 100000}","{'弓之魔石': 4, 'QP': 300000}","{'弓之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'弓之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'弓之秘石': 8, '凤凰羽毛': 3, 'QP': 1250000}","{'凤凰羽毛': 6, '祸罪之箭头': 4, 'QP': 2500000}","{'祸罪之箭头': 12, '虹之线球': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
阿拉什,1,Archer,"{'弓之辉石': 2, 'QP': 10000}","{'弓之辉石': 4, 'QP': 20000}","{'弓之魔石': 2, 'QP': 60000}","{'弓之魔石': 4, '英雄之证': 5, 'QP': 80000}","{'弓之秘石': 2, '英雄之证': 10, 'QP': 200000}","{'弓之秘石': 4, '世界树之种': 2, 'QP': 250000}","{'世界树之种': 4, '人工生命体幼体': 2, 'QP': 500000}","{'人工生命体幼体': 6, '虚影之尘': 16, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}","{'弓之辉石': 2, 'QP': 10000}","{'弓之辉石': 4, 'QP': 20000}","{'弓之魔石': 2, 'QP': 60000}","{'弓之魔石': 4, '八连双晶': 2, 'QP': 80000}","{'弓之秘石': 2, '八连双晶': 4, 'QP': 200000}","{'弓之秘石': 4, '精灵根': 1, 'QP': 250000}","{'精灵根': 2, '晓光炉心': 2, 'QP': 500000}","{'晓光炉心': 4, '祸罪之箭头': 8, 'QP': 600000}","{'传承结晶': 1, 'QP': 1000000}"
库·丘林,3,Lancer,"{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'枪之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'枪之秘石': 8, '混沌之爪': 2, 'QP': 1250000}","{'混沌之爪': 4, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 36, '凤凰羽毛': 13, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '起源的胎毛': 2, 'QP': 400000}","{'枪之秘石': 4, '起源的胎毛': 4, 'QP': 1000000}","{'枪之秘石': 8, '蛮神心脏': 2, 'QP': 1250000}","{'蛮神心脏': 3, '神脉灵子': 4, 'QP': 2500000}","{'神脉灵子': 12, '晓光炉心': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
伊丽莎白·巴托里,4,Lancer,"{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '龙之逆鳞': 2, 'QP': 800000}","{'枪之秘石': 4, '龙之逆鳞': 4, 'QP': 2000000}","{'枪之秘石': 10, '龙之牙': 10, 'QP': 2500000}","{'龙之牙': 20, '禁断书页': 5, 'QP': 5000000}","{'禁断书页': 15, '凤凰羽毛': 16, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}","{'枪之辉石': 4, 'QP': 100000}","{'枪之辉石': 10, 'QP': 200000}","{'枪之魔石': 4, 'QP': 600000}","{'枪之魔石': 10, '蛇之宝玉': 4, 'QP': 800000}","{'枪之秘石': 4, '蛇之宝玉': 7, 'QP': 2000000}","{'枪之秘石': 10, '血之泪石': 3, 'QP': 2500000}","{'血之泪石': 5, '魔术髓液': 15, 'QP': 5000000}","{'魔术髓液': 45, '宵泣之铁桩': 60, 'QP': 6000000}","{'传承结晶': 1, 'QP': 10000000}"
武藏坊弁庆,2,Lancer,"{'枪之辉石': 3, 'QP': 20000}","{'枪之辉石': 6, 'QP': 40000}","{'枪之魔石': 3, 'QP': 120000}","{'枪之魔石': 6, '世界树之种': 3, 'QP': 160000}","{'枪之秘石': 3, '世界树之种': 6, 'QP': 400000}","{'枪之秘石': 6, '凶骨': 8, 'QP': 500000}","{'凶骨': 15, '虚影之尘': 6, 'QP': 1000000}","{'虚影之尘': 42, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'枪之辉石': 3, 'QP': 20000}","{'枪之辉石': 6, 'QP': 40000}","{'枪之魔石': 3, 'QP': 120000}","{'枪之魔石': 6, '八连双晶': 3, 'QP': 160000}","{'枪之秘石': 3, '八连双晶': 5, 'QP': 400000}","{'枪之秘石': 6, '枯淡勾玉': 3, 'QP': 500000}","{'枯淡勾玉': 5, '奇奇神酒': 2, 'QP': 1000000}","{'奇奇神酒': 4, '闲古铃': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
库·丘林〔Prototype〕,3,Lancer,"{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'枪之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'枪之秘石': 8, '虚影之尘': 7, 'QP': 1250000}","{'虚影之尘': 13, '英雄之证': 12, 'QP': 2500000}","{'英雄之证': 36, '八连双晶': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '黑兽脂': 2, 'QP': 400000}","{'枪之秘石': 4, '黑兽脂': 4, 'QP': 1000000}","{'枪之秘石': 8, '起源的胎毛': 2, 'QP': 1250000}","{'起源的胎毛': 4, '咒兽胆石': 2, 'QP': 2500000}","{'咒兽胆石': 5, '晓光炉心': 10, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
列奥尼达一世,2,Lancer,"{'枪之辉石': 3, 'QP': 20000}","{'枪之辉石': 6, 'QP': 40000}","{'枪之魔石': 3, 'QP': 120000}","{'枪之魔石': 6, '虚影之尘': 5, 'QP': 160000}","{'枪之秘石': 3, '虚影之尘': 10, 'QP': 400000}","{'枪之秘石': 6, '混沌之爪': 2, 'QP': 500000}","{'混沌之爪': 3, '蛇之宝玉': 3, 'QP': 1000000}","{'蛇之宝玉': 8, '凶骨': 36, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'枪之辉石': 3, 'QP': 20000}","{'枪之辉石': 6, 'QP': 40000}","{'枪之魔石': 3, 'QP': 120000}","{'枪之魔石': 6, '英雄之证': 8, 'QP': 160000}","{'枪之秘石': 3, '英雄之证': 15, 'QP': 400000}","{'枪之秘石': 6, '八连双晶': 3, 'QP': 500000}","{'八连双晶': 5, '巨人的戒指': 3, 'QP': 1000000}","{'巨人的戒指': 9, '光银之冠': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
罗穆路斯,3,Lancer,"{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '凤凰羽毛': 3, 'QP': 400000}","{'枪之秘石': 4, '凤凰羽毛': 6, 'QP': 1000000}","{'枪之秘石': 8, '八连双晶': 4, 'QP': 1250000}","{'八连双晶': 7, '无间齿轮': 4, 'QP': 2500000}","{'无间齿轮': 12, '虚影之尘': 32, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'枪之辉石': 4, 'QP': 50000}","{'枪之辉石': 8, 'QP': 100000}","{'枪之魔石': 4, 'QP': 300000}","{'枪之魔石': 8, '世界树之种': 4, 'QP': 400000}","{'枪之秘石': 4, '世界树之种': 8, 'QP': 1000000}","{'枪之秘石': 8, '战马的幼角': 2, 'QP': 1250000}","{'战马的幼角': 4, '精灵根': 2, 'QP': 2500000}","{'精灵根': 5, '煌星碎片': 7, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
美杜莎,3,Rider,"{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '虚影之尘': 7, 'QP': 400000}","{'骑之秘石': 4, '虚影之尘': 13, 'QP': 1000000}","{'骑之秘石': 8, '蛇之宝玉': 3, 'QP': 1250000}","{'蛇之宝玉': 6, '蛮神心脏': 2, 'QP': 2500000}","{'蛮神心脏': 5, '凤凰羽毛': 13, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '混沌之爪': 2, 'QP': 400000}","{'骑之秘石': 4, '混沌之爪': 4, 'QP': 1000000}","{'骑之秘石': 8, '封魔之灯': 2, 'QP': 1250000}","{'封魔之灯': 4, '九十九镜': 2, 'QP': 2500000}","{'九十九镜': 5, '神脉灵子': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
乔尔乔斯,2,Rider,"{'骑之辉石': 3, 'QP': 20000}","{'骑之辉石': 6, 'QP': 40000}","{'骑之魔石': 3, 'QP': 120000}","{'骑之魔石': 6, '凤凰羽毛': 2, 'QP': 160000}","{'骑之秘石': 3, '凤凰羽毛': 4, 'QP': 400000}","{'骑之秘石': 6, '英雄之证': 8, 'QP': 500000}","{'英雄之证': 15, '无间齿轮': 3, 'QP': 1000000}","{'无间齿轮': 9, '陨蹄铁': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'骑之辉石': 3, 'QP': 20000}","{'骑之辉石': 6, 'QP': 40000}","{'骑之魔石': 3, 'QP': 120000}","{'骑之魔石': 6, '龙之牙': 6, 'QP': 160000}","{'骑之秘石': 3, '龙之牙': 12, 'QP': 400000}","{'骑之秘石': 6, '万死的毒针': 6, 'QP': 500000}","{'万死的毒针': 12, '战马的幼角': 2, 'QP': 1000000}","{'战马的幼角': 6, '龙之逆鳞': 5, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
爱德华·蒂奇,2,Rider,"{'骑之辉石': 3, 'QP': 20000}","{'骑之辉石': 6, 'QP': 40000}","{'骑之魔石': 3, 'QP': 120000}","{'骑之魔石': 6, '八连双晶': 3, 'QP': 160000}","{'骑之秘石': 3, '八连双晶': 5, 'QP': 400000}","{'骑之秘石': 6, '凶骨': 8, 'QP': 500000}","{'凶骨': 15, '人工生命体幼体': 3, 'QP': 1000000}","{'人工生命体幼体': 9, '鬼魂提灯': 12, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}","{'骑之辉石': 3, 'QP': 20000}","{'骑之辉石': 6, 'QP': 40000}","{'骑之魔石': 3, 'QP': 120000}","{'骑之魔石': 6, '愚者之锁': 8, 'QP': 160000}","{'骑之秘石': 3, '愚者之锁': 15, 'QP': 400000}","{'骑之秘石': 6, '魔术髓液': 8, 'QP': 500000}","{'魔术髓液': 15, '振荡火药': 9, 'QP': 1000000}","{'振荡火药': 27, '智慧之圣甲虫像': 5, 'QP': 1200000}","{'传承结晶': 1, 'QP': 2000000}"
布狄卡,3,Rider,"{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '凶骨': 10, 'QP': 400000}","{'骑之秘石': 4, '凶骨': 20, 'QP': 1000000}","{'骑之秘石': 8, '凤凰羽毛': 3, 'QP': 1250000}","{'凤凰羽毛': 6, '蛇之宝玉': 4, 'QP': 2500000}","{'蛇之宝玉': 10, '虚影之尘': 32, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}","{'骑之辉石': 4, 'QP': 50000}","{'骑之辉石': 8, 'QP': 100000}","{'骑之魔石': 4, 'QP': 300000}","{'骑之魔石': 8, '无间齿轮': 4, 'QP': 400000}","{'骑之秘石': 4, '无间齿轮': 7, 'QP': 1000000}","{'骑之秘石': 8, '陨蹄铁': 4, 'QP': 1250000}","{'陨蹄铁': 7, '宵泣之铁桩': 12, 'QP': 2500000}","{'宵泣之铁桩': 36, '光银之冠': 16, 'QP': 3000000}","{'传承结晶': 1, 'QP': 5000000}"
